766 111 74 104 4 331 1820 120 19 253,1,1
5 76 12 1 9 83 209 27 57 209 19 209 19 1565 377,1,2
12 152 21 17 267 219 3 118 1206 337,1,3
1 6 76 12 919 216 1 33 108 117 1 6 171 540 1477 393 1 33 639,1,5
51 1530 365 4 132 1759 1139 617,1,6
165 707 430 87 483 83 24 9 128 213 483 14 381 134 256 445,1,7
26 1039 1540 16 3 710 218 693 1413 1558 426 1431 1750 596 618 269 253,1,11
102 1 1079 20 41 154 548 7,1,13
210 218 1779 60 1 655 24 9 7 125 872 168 225 300 1174 267 558,1,14
1 166 148 148 220 22 7 73 416 373 148 15 73 2 34 148 15,1,16
2 58 1 44 810 941 721,1,17
1259 218 3 1364 192 13 671 1515 11 1001 60 20 1759,1,20
2 20 742 1,1,21
19 297 25 322 218 25 322 174 405 759 390 337,1,23
9 1 6 186 1332 838 357 296 410 1617 1021,1,25
9 1 3 239 128 324 222 25 150 1662 1367 167 9 128 128 50 128 68 7,1,26
19 43 1 210 763,1,27
21 22 1152 465 375 27 184 7 185 68 72 207 126 7 1364 24 653 63,1,28
102 55 269 140 130 3 386 500 3 296 130 3 386 103 1024 1560 1101,1,29
182 294 1 3 204 41 722 3 5 204 3 363 22 450 277 294 5 350 161 103,1,30
205 111 1123 1508 446 385 99 270 962 358 896 24 1123 382 264 99,1,32
1039 50 35 269 224 166 1000 7 206 1150 50 363 40 1 104 771,1,33
114 303 1 238,1,35
1048 360 365 2 58 1,1,37
24 9 70 7 1 53 61 130 470 998 71 278 398 39 37 111 42 652,1,38
4 500 229 827 25 930 1247 24 23 23 930 827 25 175 612 263 229 25 322,1,39
22 745 1 6 1318 474 128 256 162 834 306 598 239 84 6 164 849 96 85,1,40
22 7 82 872 209 168 1453 200 1453 39 213 210 1,1,41
256 202 1250 45 366 47 46 56 48 46 392 52 470 366 55 240 693 740 46,1,42
1271 660 232 23 1 130 1004 168 357,1,43
102 4 254 49 401 662 256 221 1130 1405 77 242 475 161 558 1466 77,1,44
