774 1323 2660 622 216 1236 1323 999 546 1747 2621 1044 547 2740 2660 622 108 361 426 774,1,4
261 2033 108 2 148 637 827 162 684 483 895 391 158 39 617,1,8
93 610 9 339 373 2 5 1163 159 156 553 9 189 21 1805 610 802 545 146,1,14
1439 3343 25 96 39 63 62 387 426 710 14 385 3522 692 178 13 14 361 244 2427,1,15
50 2 925 99 326 57 38 249 3 43 276 38 1051 17 3 43 214 446 38,1,30
513 313 481 7 1457 41 41 887 314 422 896 1947 516 1457 955 226 106 28 1457,1,42
505 1264 420 170 205 3 216 440 1540 98 2 552 3183 12 59 150 3572 205,1,46
541 88 18 71 2406 1198 5 944 2 159 133 392 1738 3134 11 1,1,48
561 25 4 5 3168 21 594 202 3716 2101 21 548 653 187 18 286 88 2527 493,1,49
14 15 502 1685 74 18 210 6 66 14 1395 7 1928 1457 61 22 21 714 3820 252,1,52
561 111 5 202 93 4 202 657 3716 2101 21 548 202 1557 144 1516 167 144 460 182,1,58
2 461 905 19 13 65 1921 45 2 3 905 2 90 142 2531 20 643 905 3 110,1,66
199 193 199 425 109 3184 243 1272 669 120 370 584 3723 4089 691 11 669,1,68
1117 58 95 604 117 139 1117 91 62 21 1939 17 19 1074 17 19 3119 17,1,70
274 83 88 96 5 707 1182 315 27 5 315 115 23 243 378 3283 14,1,75
175 739 1498 3951 1152 2094 739 1867 183 1028 91 561 2094 584 142 18 526,1,84
1639 935 455 231 99 169 11 333 82 5 449 35 787 102 432 3487 229 841 100,1,95
43 436 1539 3633 356 288 3580 650 880 62 101 1561 75 328 3173 127 40 43,1,97
1597 43 225 2107 441 1055 1445 745 441 1147 69 29 3555 343 5 147 56 4282 1445 592,1,100
1223 104 12 1351 627 86 3839 20 36 392 86 223 7 150 91 18 2070 1243 166,1,101
1557 2861 88 18 586 2 4 600 430 2 4 634 430 204 1010 88 386 581 2 624,1,106
264 2 4 1161 6 2527 1252 543 568 1506 845 411 8 90 70,1,107
1 1164 47 179 1495 6 1164 362 3522 106 280 201 58 61 22 14 18 47 70,1,108
1229 479 113 5 1097 49 110 230 174 236 123 280 14 534 170 1458 200,1,109
2065 1284 189 2 4 1947 75 2008 7 157 1102 5,1,113
99 2 275 424 153 444 1 287 22 159 219 33 235 219 19 33 90 268 61,1,114
91 3051 210 6 5 2012 175 33 99 181 66 84 67 6 1552 3510 15 340 59,1,116
1 217 20 191 10 1 17 41 217 537 45 109 791 3 166 217,1,124
569 313 200 1220 2 4 1 4 3236 134 55 118 4 418 33 32 152 200,1,133
18 486 402 1423 192 1325 24 21 11 2 5 105 2681 44 619 950 1622 1421 21 723,1,137
851 3511 181 2545 360 120 199 391 1314 315 390 54 76 839 2 343,1,140
25 82 614 24 866 398 1850 248 2799 25 37 1650 24 155 190 248 93 883 3895,1,150
709 1346 1392 3500 995 96 5 422 7 88 10 172 1 1392 3500 67 610 1616 1010 20,1,156
44 2921 995 25 5 14 15 995 96 5 96 5 4 7 1850 85 297 360 2684,1,157
1 47 65 2482 481 248 2004 2143 20 65 185 126 992 1603 1848 6 1327 185,1,159
2683 21 1552 4497 104 11 265 926 300 45 379 45 379 916 104 401 1199 45 45 15,1,160
62 57 70 767 792 677 2 980 3 3 326 406,1,161
83 754 3911 3052 2735 1049 292 754 850 386 90 274 343 1183 3082 4 553 2859 2898,1,163
11 4509 2046 331 1569 42 43 21 60 16 75 18 2917 10 1 282 553 15 74,1,166
913 1 3426 1870 1 5 10 1 17 41 1554 13 860 1375 1554 13 674 45 13,1,177
223 55 66 2900 1969 12 648 163 2463 364 1662 66 51 163 15 648 1055 441 1317,1,178
16 6 255 258 273 3147 5 12 250 2444 338 2274 12 1 2604 171 12 1800,1,179
175 1538 93 2 4 1040 448 319 68 3864 882 408 296 6 613 1148 2676 937 6 160,1,182
265 982 1643 21 321 130 85 417 336 100 15 2077 1 247 71 661 21 33,1,189
210 1175 369 3318 147 5 1581 98 468 121 20 283 2628 109 773 428 1175 369,1,192
133 1319 54 2426 60 2355 15 1 795 1015 544 76 3317 54 347 69 1119 336 69 2462,1,193
5 240 43 1 456 1 29 573 134 1340 69 1828 134 1302 198 456 111 43 1 566,1,198
1069 1394 354 69 1791 1611 734 37 169 54 8 54 58 604 1394 98 1791 1 8 54,1,199
76 2515 1210 3271 192 268 136 1 1248 61 22 263 196 2515 196 15 1734 6 2515 196,1,200
12 2 4 1173 851 169 1713 640 792 806 1 110 615 838 7 806 91 1 851 614,1,201
105 2 4 76 149 8 730 367 2104 2 107 2716 1389 3 176 218 2832 218,1,203
771 2953 25 78 257 827 5 83 1939 1346 18 52 293 15 116 239 1950 54,1,207
739 571 2 4 549 3871 1346 104 3273 261 2446 3714 559 307 2792 774 550 3404 522 15,1,210
12 1969 4 769 96 12 2652 32 582 96 14 15 7 599 3740 86 293 582 49,1,215
33 3 47 1 615 238 874 14 2278 1756 179 1896 179 47 1 100 15 3,1,220
2309 338 5 716 379 2208 144 30 123 200 223 83 175 33 210 5 449 35 234 67,1,222
314 937 54 972 29 37 600 4 540 2 4 345 421 35 2527 1701 346 2141 473,1,230
539 76 2212 3578 326 77 77 96 539 1258 1902 382 767 253 44 3 110 458,1,238
175 364 656 431 118 442 6 5 210 5 1896 210 1917 597 5 210 1917 1321 572 1247,1,242
494 655 243 1630 137 1979 1630 137 76 2078 1637 88 563 5 1237 2790 1140 1979,1,244
631 51 997 8 330 260 997 163 723 320 15 2525,1,254
2576 455 3071 534 254 66 2993 83 23 23 4523 1391 274 123 2759 384 18 343 700,1,262
1557 1112 1497 96 66 2684 25 66 408 415 7 96 29 99 175 360 207 207,1,268
14 15 7 75 30 20 44 24 706 133 96 33 1129 100 15 3 126 2920 75,1,270
12 339 535 238 21 82 5 61 22 409 33 12 3 110 82 35 235 1 11 1509,1,272
702 159 1640 21 6 541 14 15 170 100 15 62 99 104 16 1932 2254 16,1,279
338 5 977 265 656 192 59 200 910 200 11 1 2180 1153 463 1114 6 6,1,283
1278 2 4 203 479 18 3615 92 203 128 3364 736 55 182 445 188 649 4110,1,287
338 5 18 10 600 88 88 256 1560 721 119 5 5 103,1,288
15 328 24 47 523 152 225 1 350 163 25 33 32 157 3 110 3128 166 746 33,1,294
192 2 4 81 5 1181 29 3201 92 151 1709 1717 21 1044 2233 6 92 151 2544,1,300
262 12 1387 1175 2015 258 25 3171 2755 144 172 25 5 1969 4 25 138 134 2259,1,307
2 461 1373 19 13 65 17 59 19 45 2 3 1373 17 19 2 3 1373 17 1804,1,308
2 4 265 5 115 242 1 379 17 1568 1453 110 677 37 34 2360 17 1568 1453 31,1,321
1873 1853 2029 186 102 12 74 12 345 2 229 7,1,323
421 177 1142 12 5 60 85 98 60 54 183 387 957 379 583 379 583 605 12,1,328
2 4 5 2241 1522 248 944 445 212 23 1244 258 1522 42 600 145 42 1522 88 5,1,335
3236 62 1340 43 400 1749 43 666 365 1340 738 235 400 738 43 666,1,344
48 191 1 368 2029 583 347 27 614 200 191 29 90 3683 48 14 3,1,350
64 951 83 100 1352 553 15 632 1768 389 3842 278 3216 113 968,1,360
29 11 2 452 1498 433 1192 137 2 265 787 479 878 2382 23,1,362
2530 4317 386 1280 251 584 2 4 339 14 15 32 2220 4221 196 11,1,367
175 33 67 47 192 264 21 2 4 673 156 1308 470 224 688 101 1 757 1122 224,1,372
2065 2688 313 5 398 1536 550 2649 695 287 1354 2115 874 1712 2489,1,376
25 5 1238 92 202 1263 51 1277 5 4 208 167 21 93 55 12 648 648 1205 2925,1,381
18 2228 359 100 835 771 3879 76 43 1639 63 15 82 1 20 272 3,1,386
48 1 353 10 1 215 686 41 217 1961 298 97 1961 606 1000 757 298 188 578 29,1,397
2947 702 8 77 979 86 33 735 32 54 485 51 8 113 306 164 64 171 135,1,400
99 104 2065 104 243 1170 333 104 243 2066 1002 333 2 4 110 1426,1,401
1 313 1661 24 36 92 2067 384 614 24 567 1119 384 384 6 118 107 386 367 210,1,414
587 290 7 856 305 370 25 120 728 1831 479 3880 718 856 2578,1,417
628 549 243 127 175 1538 252 2 4 66 23 628 176 2 4 58 175,1,425
72 1409 212 23 1264 751 1446 345 889 113 2 4 131 228 84 896 1363 110 2822 3,1,431
702 103 149 5 822 5 210 286 43 3832 123 43 11 1333 155 3832 1333 312,1,436
261 19 6 2771 452 1156 14 714 1249 282 183 6 449 99 3 110 44 8 6,1,437
51 529 988 163 235 8 1002 23 23 30 48 306 23 840 1873 3588 468,1,440
1505 881 37 36 1 2 4 275 424 5 2 4 50 36 1037 176 146 340 2231 12,1,442
204 3704 76 327 2399 127 188 805 580 2 4 145 93 630 2905 5 1904 202,1,445
3363 851 296 6 18 33 227 3363 5 21 2802 6 1647 590 387 3268,1,446
50 1344 769 25 4 1344 448 925 99 1029 42 645 77 1029 645 172 904 12,1,453
91 142 3175 11 327 3405 2 4 275 424 650 1264 2422 333 483 2357 2941 759,1,458
5 274 581 2762 10 1168 1 12 50 5 4 1631 182 883 788 1312 51 296,1,470
